Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Rebel Without a Cause,1955.0,7.7,87109.0,Drama,111.0,Film,PG-13,-1.0,None,Moderate,None,Mild,Moderate
Blade,1955.0,-1.0,-1.0,"Action, Adventure, Fantasy",-1.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
False Positive,2021.0,4.7,4037.0,"Horror, Mystery, Thriller",92.0,Film,R,-1.0,Moderate,Moderate,Moderate,Mild,Severe
Seven Psychopaths,2012.0,7.2,249055.0,"Comedy, Crime",110.0,Film,R,-1.0,Moderate,Severe,Severe,Moderate,Moderate
Julie and the Phantoms,2012.0,8.5,8198.0,"Short, Adventure, Comedy",-1.0,Series,TV-G,9.0,None,None,None,None,None
Switched at Birth,2012.0,7.7,24324.0,"Drama, Family, Romance",60.0,Series,TV-14,105.0,Mild,Mild,Mild,Moderate,Mild
Too Hot to Handle,2012.0,4.6,10616.0,"Game-Show, Reality-TV, Romance",40.0,Series,TV-MA,20.0,Moderate,None,Mild,Mild,None
Mary Queen of Scots,2018.0,6.3,46936.0,"Biography, Drama, History",124.0,Film,R,-1.0,Moderate,Moderate,Mild,Mild,Moderate
Escape from Pretoria,2020.0,6.8,30790.0,Thriller,106.0,Film,PG-13,-1.0,None,Mild,Mild,None,Moderate
Blithe Spirit,2020.0,5.4,4952.0,"Comedy, Fantasy, Romance",99.0,Film,PG-13,-1.0,Mild,Mild,Mild,Mild,Mild
The Sting,1973.0,8.3,251206.0,"Comedy, Crime, Drama",129.0,Film,PG,-1.0,Mild,Mild,Moderate,Mild,Mild
Psycho Goreman,2020.0,6.3,9898.0,"Comedy, Horror, Sci-Fi",95.0,Film,Not Rated,-1.0,None,Severe,Moderate,None,Mild
Hitch,2005.0,6.6,305136.0,"Comedy, Romance",118.0,Film,PG-13,-1.0,Mild,Mild,Moderate,Mild,None
Feel Good,2005.0,7.5,8946.0,"Comedy, Drama, Romance",30.0,Series,TV-MA,12.0,Moderate,None,Moderate,Moderate,None
Splice,2009.0,5.7,95690.0,"Drama, Horror, Sci-Fi",104.0,Film,R,-1.0,Severe,Moderate,Severe,Mild,Moderate
S.W.A.T.,2003.0,6.0,143105.0,"Action, Adventure, Crime",117.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,Mild,Moderate
One Day at a Time,2003.0,8.2,14694.0,"Comedy, Drama",30.0,Series,TV-PG,46.0,Mild,None,Mild,Mild,None
Lifeforce,1985.0,6.2,24336.0,"Action, Horror, Mystery",101.0,Film,R,-1.0,Moderate,Moderate,Mild,Mild,Moderate
The Last Witch Hunter,2015.0,6.0,100005.0,"Action, Adventure, Fantasy",106.0,Film,PG-13,-1.0,None,Moderate,None,Mild,Moderate
Dive Club,2015.0,6.2,570.0,"Adventure, Drama, Family",27.0,Series,TV-PG,12.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Ruins,2008.0,5.9,73267.0,"Adventure, Fantasy, Horror",90.0,Film,R,-1.0,Moderate,Severe,Moderate,Moderate,Severe
Toy Story 2,1999.0,7.9,549686.0,"Animation, Adventure, Comedy",92.0,Film,G,-1.0,None,Mild,None,None,Mild
Ben-Hur,1959.0,8.1,229116.0,"Adventure, Drama, History",212.0,Film,G,-1.0,None,Moderate,None,None,Moderate
Swim,2021.0,3.2,195.0,"Action, Horror",86.0,Film,Approved,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Dead Ringers,1988.0,7.3,44214.0,"Drama, Horror, Thriller",116.0,Film,R,-1.0,Moderate,Moderate,Moderate,Moderate,Moderate
Ocean's Thirteen,2007.0,6.9,332952.0,"Crime, Thriller",122.0,Film,PG-13,-1.0,Mild,None,Mild,Mild,None
Baegabondeu,2019.0,8.2,6001.0,"Action, Mystery, Thriller",60.0,Series,None,16.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Bodyguard,1992.0,6.3,127301.0,"Action, Drama, Music",129.0,Film,R,-1.0,Mild,Moderate,Moderate,Mild,Mild
Relic,2020.0,6.0,23329.0,"Drama, Horror, Mystery",89.0,Film,R,-1.0,Mild,Moderate,Mild,Mild,Moderate
Cold Pursuit,2019.0,6.2,62922.0,"Action, Comedy, Crime",119.0,Film,R,-1.0,Mild,Moderate,Moderate,Moderate,Moderate
The Secret of My Success,1987.0,6.5,32481.0,"Comedy, Romance",111.0,Film,PG-13,-1.0,Mild,Mild,Mild,Mild,None
Lilo & Stitch,2002.0,7.3,177872.0,"Animation, Adventure, Comedy",85.0,Film,PG,-1.0,None,Mild,None,None,Mild
Stoker,2013.0,6.8,106129.0,"Drama, Mystery, Thriller",99.0,Film,R,-1.0,Moderate,Moderate,Mild,Mild,Moderate
Snow White and the Seven Dwarfs,1937.0,7.6,189977.0,"Animation, Family, Fantasy",83.0,Film,Approved,-1.0,None,Mild,None,None,Mild
